#Select Statistics Per TCE From the Data Validation XML Files                   
#Mission = TESS                                                                 
#Search = tess2022217141447                                                     
#Sectors = s0055-s0055                                                          
#Created Date = 2022-10-06                                                      
#                                                                               
tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00010987644-01,10987644,1,s0055,2022-10-06,0.21806600000000001,,2797.1999999999998,,2459797.2000000002,,0.0185758,,3.6922100000000002,,85.185500000000005,,0.30988599999999999,,0.44459799999999999,,9.1576999999999995E-3,,379.41800000000001,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.53589039999999999,8.2708450000000003E-2,-6.9982039999999995E-2,7.6008979999999995E-5,121,mandel-agol_geometric_transit_model,true,5.0608180000000003,8601.1299999999992,10759.57,12.482060000000001,132.39359999999999,77.164469999999994,1782,1446.1189999999999,39.045299999999997,,0.0,,0.0,,0.0,,2,00000000000000000000000000000000000000000000000000000001,8396.0,138.0,4.4379999999999997,0.0,0.0,0.0,19.253900000000002,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,0.21796301007270799,-1.0,2797.2011920354998,-1.0,2459797.2011920353,-1.0,0.86700504461425798,-1.0,0.43348861089162999,-1.0,1367.29679945166,-1.0,true,27491,9459,15.91577,2084.105,-0.983345,1.6812020000000001,7.6057399999999999,-4.4163589999999999,0.11144,0.128357,6.0547709999999997,8.2542799999999996,3.6890710000000003E-5,0.0,1.7061010000000001E-6,0.0,-1.0,0.0,-1.0,0.0,0.0,2.2252946161681899E-41,2.426625,-4.1308490000000004,0.92269849999999998,125,0.0,0.0,0.51361259999999997,2.5002849999999999,-0.52310270000000003,2.5003760000000002,0.7330991,2.5003310000000001,-0.68477829999999995,2.500283,3.1799599999999999,2.5003730000000002,3.252856,2.5003690000000001
00010987644-02,10987644,2,s0055,2022-10-06,0.218111,,2797.3000000000002,,2459797.2999999998,,2.6688900000000002E-2,,2.15266,,74.608099999999993,,0.57135800000000003,,0.70574700000000001,,2.8432800000000001E-2,,756.89999999999998,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.53589039999999999,8.2708450000000003E-2,-6.9982039999999995E-2,7.6008979999999995E-5,121,mandel-agol_geometric_transit_model,true,8.0257959999999997,7253.8130000000001,11092.85,16.190359999999998,138.9896,71.137169999999998,1754,1174.9960000000001,56.098599999999998,,0.0,,0.0,,0.0,,2,00000000000000000000000000000000000000000000000000000001,8396.0,138.0,4.4379999999999997,0.0,0.0,0.0,19.253900000000002,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,0.21799633683066399,-1.0,2797.30809913445,-1.0,2459797.3080991344,-1.0,0.87618121648353398,-1.0,0.39154850775366701,-1.0,1376.5891423165101,-1.0,true,18149,9403,-0.98409089999999999,-372.07679999999999,-3.05525,2.1784520000000001,1.39238,-6.6555140000000002,0.14818000000000001,0.0648484,5.6487170000000004,7.6160899999999998,0.62314179999999997,1.7061010000000001E-6,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.5770542696427201E-37,2.4492759999999998,-4.1101169999999998,0.92254270000000005,124,5.4318600000000004,3.0455809999999999,0.4713714,2.5002140000000002,-0.51012100000000005,2.5002810000000002,0.69456059999999997,2.5002499999999999,-0.72039739999999997,2.5002119999999999,3.1871529999999999,2.5002779999999998,3.2675550000000002,2.5002749999999998
00011111899-01,11111899,1,s0055,2022-10-06,0.61942200000000003,,2797.25,,2459797.25,,5.1241299999999997E-2,,1.2172099999999999,,35.568800000000003,,0.99009599999999998,,2.4721700000000002,,1.2360800000000001,,1246.5,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.41360799999999998,0.65741640000000001,-0.78189240000000004,0.2860336,43,mandel-agol_geometric_transit_model,true,28.737909999999999,10079.9,12117.629999999999,26.676819999999999,104.3853,41.676270000000002,1914,1926.4269999999999,10.015499999999999,,2.0978799999999999E-2,,2964.77,,18259.299999999999,,1,00000000000000000000000000000000000000000000000000000001,7273.0,0.0,4.4379999999999997,0.0,0.0,0.0,1.7904,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,0.61956715583801303,-1.0,2797.2472437769602,-1.0,2459797.2472437769,-1.0,2.39130674888907,-1.0,0.98038409322982301,-1.0,1214.4420660419,-1.0,true,19177,9452,1.8619289999999999,86.093119999999999,-0.907955,0.65940399999999999,3.1992099999999999,-2.9019520000000001,0.45552999999999999,0.205533,4.5673950000000003,17.733170000000001,1.1670929999999999,0.0,0.0,0.20780580000000001,0.26732359999999999,3094.8919999999998,995.3202,-2.963428,0.13073660000000001,1.3076096669946699E-58,7.7528860000000002,-0.13071949999999999,1.109664,44,12.753590000000001,5.015142,-26.096730000000001,2.5094850000000002,-3.7199710000000001,2.5094970000000001,26.360530000000001,2.5094850000000002,-28.680610000000001,2.5079739999999999,3.1101030000000001,2.509493,28.848739999999999,2.5079910000000001
00011113164-01,11113164,1,s0055,2022-10-06,1.41987,,2797.4200000000001,,2459797.4199999999,,0.459366,,3.7316699999999998,,74.613699999999994,,0.99010500000000001,,3.2820800000000001,,1.6410400000000001,,94475.300000000003,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.65053119999999998,-0.43827919999999998,0.3768415,-0.13288759999999999,18,mandel-agol_geometric_transit_model,true,57.871769999999998,5438.2749999999996,4629.1189999999997,63.238079999999997,397.78410000000002,588.48090000000002,538,1238.6179999999999,50.148800000000001,,0.0247356,,3480.1100000000001,,34665.099999999999,,1,00000000000000000000000000000000000000000000000000000001,12404.0,459.0,4.4379999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TIC8.2,Solar,Solar,Solar,Solar,1.41977322101593,-1.0,2797.4216257562898,-1.0,2459797.4216257562,-1.0,1.5181534848393201,-1.0,0.53407985039030903,-1.0,44230.773970534297,-1.0,true,4736847,4315,83.710520000000002,49581.410000000003,-0.0135668,0.96555469999999999,375.43720000000002,-104.2089,-0.12363,0.141644,36.120690000000003,23.518619999999999,0.0,0.0,0.0,6.6361480000000004,5.6768910000000004,8635.9930000000004,1874.354,0.99282289999999995,2.7442829999999998,-1.0,-1.0,-1.0,-1.0,-1,6.2172619999999998,12.781180000000001,1.032627,2.500006,-0.53545690000000001,2.5000089999999999,1.1631990000000001,2.500006,-0.46631709999999998,2.500003,3.4088280000000002,2.5000049999999998,3.4405749999999999,2.5000049999999998
00011119600-01,11119600,1,s0055,2022-10-06,0.61063400000000001,,2797.46,,2459797.46,,0.37246400000000002,,4.3323299999999998,,88.677400000000006,,0.10000000000000001,,1.5,,0.41522599999999998,,556765.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40949989999999997,0.64317939999999996,-0.71537360000000005,0.25228099999999998,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,1145.097,121849.8,14959.629999999999,1815,255643.10000000001,73.078199999999995,,1.6133399999999999E-2,,3212.0999999999999,,25158.099999999999,,2,00000000000000000000000000000000000000000000000000000001,6897.0,233.16900000000001,4.1049499999999997,8.7731500000000004E-2,0.0,0.0,1.79722,7.3010000000000005E-2,0.25843329999999998,5.3251079999999999E-2,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.61063408851623502,-1.0,2797.4579739802498,-1.0,2459797.4579739803,-1.0,2.5708512449596399,-1.0,1.2788049252811799,-1.0,425279.74810228799,-1.0,true,4665516,9362,4.5602710000000002,1149.4369999999999,-1.36209,1.3021430000000001,5.6231999999999998,-3.4685419999999998,0.44256000000000001,0.380056,272.28300000000002,1395.711,0.0,0.0,5.4778019999999996,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,283.4248,287.1354,1.95963,2.5000100000000001,6.0717049999999997,2.5000089999999999,6.3801059999999996,2.5000089999999999,-0.42693619999999999,2.5000040000000001,2.0953900000000001,2.500006,2.138442,2.500006
00011119600-02,11119600,2,s0055,2022-10-06,1.83161,,2798.6799999999998,,2459798.6800000002,,0.26086300000000001,,1.6247400000000001,,89.647400000000005,,9.9998299999999995E-3,,12.430099999999999,,2.9110800000000001,,76591.5,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.40949989999999997,0.64317939999999996,-0.71537360000000005,0.25228099999999998,16,mandel-agol_geometric_transit_model,true,31.048290000000001,11609.780000000001,11349.41,10.14772,21.926069999999999,13.07052,1340,1172.364,51.181899999999999,,3.3555300000000003E-2,,2227.27,,5815.8000000000002,,2,00000000000000000000000000000000000000000000000000000001,6897.0,233.16900000000001,4.1049499999999997,8.7731500000000004E-2,0.0,0.0,1.79722,7.3010000000000005E-2,0.25843329999999998,5.3251079999999999E-2,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,1.83194361787719,-1.0,2798.58898605984,-1.0,2459798.5889860597,-1.0,1.3577224634571801,-1.0,0.65710495155915705,-1.0,1985.66631941986,-1.0,true,15314,6593,10.058439999999999,28425.490000000002,-0.157088,3.4487739999999998,44.99456,-50.193210000000001,0.61109000000000002,0.976366,14.682090000000001,44.517629999999997,9.1432849999999993E-3,5.4778019999999996,0.0,6.7216120000000004,1.158866,5544.7370000000001,236.6344,4.9372509999999998,12.76741,0.0,5.8982270000000003,-0.45884900000000001,0.89413509999999996,14,4.6230169999999999,-11.79847,1.471841,2.5001449999999998,6.320684,2.500194,6.489789,2.5001920000000002,-0.67643629999999999,2.5001419999999999,2.3711820000000001,2.5001920000000002,2.4657800000000001,2.5001880000000001
00011367235-01,11367235,1,s0055,2022-10-06,4.1692,,2800.6599999999999,,2459800.6600000001,,0.12723799999999999,,1.3528,,42.954700000000003,,0.99010500000000001,,19.884799999999998,,9.9423999999999992,,6530.8199999999997,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.67589350000000004,-1.9832539999999999E-2,0.21147250000000001,-0.1023531,6,mandel-agol_geometric_transit_model,true,21.77664,6973.1689999999999,8422.6119999999992,12.605600000000001,18.380089999999999,0.83994000000000002,1124,1143.1320000000001,3912.2199999999998,,2.1793499999999999,,1913.2,,3166.4099999999999,,1,00000000000000000000000000000000000000000000000000000001,3814.0,122.0,4.4379999999999997,0.0,0.0,0.0,281.64699999999999,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,4.1611094474792498,-1.0,2800.6795961887601,-1.0,2459800.6795961889,-1.0,11.0995427917392,-1.0,4.3135177899937496,-1.0,4094.29146098107,-1.0,true,20232,9244,3.9459849999999999,798.81920000000002,-0.0782311,0.51409229999999995,2.70947,-2.340252,2.13748,1.85414,5.4089989999999997,8.4025999999999996,0.4295331,0.0,0.0,0.13637440000000001,0.10347050000000001,1797.567,345.77789999999999,-8.3465900000000008,-0.32930870000000001,9.6041348331013495E-18,6.9402900000000001,-0.213759,1.013871,6,3.6625070000000002,7.7216240000000003,7.7065229999999998,2.5007809999999999,-1.777147,2.5010840000000001,7.9087769999999997,2.5007959999999998,4.6481050000000002,2.5007320000000002,-0.8476688,2.5010819999999998,4.7247669999999999,2.5007429999999999
00011469862-01,11469862,1,s0055,2022-10-06,1.47664,,2798.5100000000002,,2459798.5099999998,,3.1535800000000003E-2,,4.8945699999999999,,86.677199999999999,,0.28369699999999998,,2.3056000000000001,,7.7433199999999994E-2,,1098.1800000000001,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.59400799999999998,-0.13913239999999999,0.17504359999999999,-0.08711679,17,mandel-agol_geometric_transit_model,true,14.16239,4848.125,5943.4409999999998,10.62411,26.91517,8.7622300000000006,1274,1213.6130000000001,7.6108399999999996,,4.3087899999999998E-2,,2723.8499999999999,,13009.4,,1,00000000000000000000000000000000000000000000000000000001,8618.0,0.0,4.4379999999999997,0.0,0.0,0.0,2.21068,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,1.4765602350235001,-1.0,2798.5076468327202,-1.0,2459798.5076468326,-1.0,3.52396953644991,-1.0,1.4402162012358399,-1.0,2638.6454118904098,-1.0,true,26032,9226,3.8837380000000001,623.67840000000001,-0.304886,0.94979380000000002,3.9557500000000001,-2.0874649999999999,0.27376,0.341816,27.603100000000001,12.87557,1.7272639999999999,0.0,0.0,10.997170000000001,4.47858,7669.1030000000001,780.77200000000005,2.232218,6.333793,9.7100120562195297E-35,7.339753,-0.36082249999999999,1.0815600000000001,18,9.6620080000000002,2.1698659999999999,0.26273079999999999,2.5040719999999999,-0.2004157,2.506694,0.33044509999999999,2.5050370000000002,-0.1359696,2.5040710000000002,1.1079939999999999,2.506691,1.116306,2.506653
00011480287-01,11480287,1,s0055,2022-10-06,2.3167800000000001,,2797.3200000000002,,2459797.3199999998,,0.13820099999999999,,20.0779,,89.714600000000004,,0.10000000000000001,,1.0,,0.12260500000000001,,720616.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.0,0.0,0.0,0.0,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,179.0752,2977.1700000000001,740.79629999999997,357,6601.1499999999996,152.12200000000001,,0.16000300000000001,,3189.6500000000001,,24462.099999999999,,2,00000000000000000000000000000000000000000000000000000001,9106.0,368.0,4.4379999999999997,0.0,0.0,0.0,10.082700000000001,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,2.3167772293090798,-1.0,2797.3217153650098,-1.0,2459797.3217153652,-1.0,1.48173348085892,-1.0,0.66411916585942599,-1.0,133243.628399871,-1.0,true,2025652,2860,313.53919999999999,156587.10000000001,-0.0162093,1.580954,439.14659999999998,-95.276210000000006,0.12359000000000001,0.151366,50.339100000000002,145.15989999999999,0.0,386.32339999999999,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,15.52406,15.6007,0.39483620000000003,2.5000070000000001,-0.43329129999999999,2.5000119999999999,0.58620550000000005,2.5000100000000001,-0.2237229,2.5000049999999998,1.7869219999999999,2.5000089999999999,1.8008729999999999,2.5000089999999999
00011480287-02,11480287,2,s0055,2022-10-06,1.15859,,2797.3200000000002,,2459797.3199999998,,0.10586,,9.7691099999999995,,89.413499999999999,,0.10000000000000001,,1.0,,9.6910899999999994E-2,,341844.0,,0.0,,0.0,,claret_tess_nonlinear_limb_darkening_model,0.0,0.0,0.0,0.0,0,mandel-agol_geometric_transit_model,false,-1.0,-1.0,-1.0,91.855840000000001,778.31539999999995,382.74889999999999,329,1378.7739999999999,116.523,,0.10080699999999999,,4018.48,,61626.5,,2,00000000000000000000000000000000000000000000000000000001,9106.0,368.0,4.4379999999999997,0.0,0.0,0.0,10.082700000000001,0.0,1.0,0.0,TIC8.2,Solar,Solar,TIC8.2,Solar,1.1585886524457201,-1.0,2797.3201571300401,-1.0,2459797.3201571302,-1.0,1.36850542074918,-1.0,0.68425268709506604,-1.0,39718.511658695897,-1.0,true,17242,2674,148.2645,85871.039999999994,-0.00803952,1.056027,202.44929999999999,-33.226599999999998,-0.12363,0.152755,29.66347,76.630629999999996,0.0,0.0,386.32339999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,37.584380000000003,-9.5641940000000005,0.44946950000000002,2.500038,-1.090589,2.5000619999999998,1.1795789999999999,2.5000589999999998,-0.1053458,2.5000369999999998,1.1793130000000001,2.5000599999999999,1.1840090000000001,2.5000589999999998
